# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADE5,7	YGL234W	YGL234W	protein_coding	0	0	0	40	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ADE6	YGR061C	YGR061C	protein_coding	0	4	2	16	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	4	9
ADE8	YDR408C	YDR408C	protein_coding	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ADF1	YCL058W-A	YCL058W-A	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ADH1	YOL086C	YOL086C	protein_coding	0	2	2	88	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	0	2	49
ADH2	YMR303C	YMR303C	protein_coding	0	2	4	46	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	0	0	2	8
ADH3	YMR083W	YMR083W	protein_coding	0	0	2	48	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	0	11
ADH4	YGL256W	YGL256W	protein_coding	0	14	6	140	0	0	0	0	77	0	0	0	6	0	0	0	0	0	0	0	0	14	63
ADH5	YBR145W	YBR145W	protein_coding	0	3	0	107	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	3	55
ADH6	YMR318C	YMR318C	protein_coding	0	3	0	76	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	3	25
ADH7	YCR105W	YCR105W	protein_coding	2	0	0	24	0	0	0	0	11	2	0	0	0	0	0	0	0	2	0	0	0	0	13
ADI1	YMR009W	YMR009W	protein_coding	0	2	0	36	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	25
ADK1	YDR226W	YDR226W	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ADK2	YER170W	YER170W	protein_coding	1	0	3	44	0	0	0	0	15	1	0	0	3	0	0	0	0	0	0	0	0	0	29
ADO1	YJR105W	YJR105W	protein_coding	0	2	0	71	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2	28
ADP1	YCR011C	YCR011C	protein_coding	0	2	2	16	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	2	4
ADR1	YDR216W	YDR216W	protein_coding	0	2	4	12	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	2	5
ADY2	YCR010C	YCR010C	protein_coding	0	1	0	18	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	7
ADY3	YDL239C	YDL239C	protein_coding	0	1	2	12	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	1	7
ADY4	YLR227C	YLR227C	protein_coding	0	3	3	9	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	3	4
AEP1	YMR064W	YMR064W	protein_coding	0	8	11	47	0	0	0	0	19	0	0	0	11	0	0	0	0	0	0	0	0	8	28
AEP2	YMR282C	YMR282C	protein_coding	0	0	3	20	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	9
AEP3	YPL005W	YPL005W	protein_coding	2	4	2	16	0	0	0	0	7	2	0	0	2	0	0	0	0	0	0	0	0	4	9
AFB1	YLR040C	YLR040C	protein_coding	0	1	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	9
AFG1	YEL052W	YEL052W	protein_coding	0	6	4	36	0	0	0	0	20	0	0	0	4	0	0	0	0	0	0	0	0	6	16
AFG2	YLR397C	YLR397C	protein_coding	0	13	2	50	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	13	29
AFG3	YER017C	YER017C	protein_coding	0	7	1	50	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	7	45
AFI1	YOR129C	YOR129C	protein_coding	0	4	6	65	0	0	0	0	33	0	0	0	6	0	0	0	0	0	0	0	0	4	32
AFR1	YDR085C	YDR085C	protein_coding	0	1	2	23	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	1	15
AFT1	YGL071W	YGL071W	protein_coding	0	1	8	34	0	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	1	15
AFT2	YPL202C	YPL202C	protein_coding	0	0	1	22	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	14
AGA1	YNR044W	YNR044W	protein_coding	0	7	14	32	0	0	0	0	16	0	0	0	14	0	0	0	0	0	0	0	0	7	16
AGA2	YGL032C	YGL032C	protein_coding	0	0	0	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AGC1	YPR021C	YPR021C	protein_coding	0	3	4	21	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	3	14
AGE1	YDR524C	YDR524C	protein_coding	0	9	3	81	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	0	9	51
AGE2	YIL044C	YIL044C	protein_coding	0	4	3	69	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	4	30
AGP1	YCL025C	YCL025C	protein_coding	1	2	2	35	0	0	0	0	22	1	0	0	2	0	0	0	1	0	0	1	0	2	13
AGP2	YBR132C	YBR132C	protein_coding	0	9	3	55	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	0	9	27
AGP3	YFL055W	YFL055W	protein_coding	1	10	7	68	0	0	0	0	63	0	0	0	7	0	0	0	0	0	1	0	0	10	5
AGX1	YFL030W	YFL030W	protein_coding	0	7	1	74	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	7	37
AHA1	YDR214W	YDR214W	protein_coding	0	0	2	12	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	5
AHC1	YOR023C	YOR023C	protein_coding	0	7	3	94	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	0	7	55
AHC2	YCR082W	YCR082W	protein_coding	0	1	0	53	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	31
AHP1	YLR109W	YLR109W	protein_coding	0	0	1	26	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	10
AHT1	YHR093W	YHR093W	protein_coding	1	0	0	14	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	6
AIF1	YNR074C	YNR074C	protein_coding	0	0	1	14	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	7
AIM1	YAL046C	YAL046C	protein_coding	0	4	0	76	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	26
AIM10	YER087W	YER087W	protein_coding	0	1	3	37	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	0	1	8
AIM11	YER093C-A	YER093C-A	protein_coding	0	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10
AIM14	YGL160W	YGL160W	protein_coding	0	2	4	64	0	0	0	0	32	0	0	0	4	0	0	0	0	0	0	0	0	2	32
AIM17	YHL021C	YHL021C	protein_coding	0	5	5	59	0	0	0	0	33	0	0	0	5	0	0	0	0	0	0	0	0	5	26
AIM18	YHR198C	YHR198C	protein_coding	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AIM19	YIL087C	YIL087C	protein_coding	0	0	0	89	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	41
AIM2	YAL049C	YAL049C	protein_coding	0	2	2	89	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	0	2	51
AIM20	YIL158W	YIL158W	protein_coding	0	1	3	61	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	0	0	1	36
AIM21	YIR003W	YIR003W	protein_coding	0	0	3	12	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	4
AIM22	YJL046W	YJL046W	protein_coding	0	4	2	52	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	4	31
AIM23	YJL131C	YJL131C	protein_coding	0	1	2	53	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	0	1	11
AIM24	YJR080C	YJR080C	protein_coding	0	7	1	65	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	7	41
AIM25	YJR100C	YJR100C	protein_coding	0	0	0	26	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	19
AIM26	YKL037W	YKL037W	protein_coding	0	0	0	21	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AIM29	YKR074W	YKR074W	protein_coding	0	2	1	48	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	2	36
AIM3	YBR108W	YBR108W	protein_coding	0	10	8	73	0	0	0	0	40	0	0	0	8	0	0	0	0	0	0	0	0	10	33
AIM32	YML050W	YML050W	protein_coding	0	1	2	18	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	17
AIM33	YML087C	YML087C	protein_coding	0	5	1	62	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	5	31
AIM34	YMR003W	YMR003W	protein_coding	0	4	2	62	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	0	4	23
AIM36	YMR157C	YMR157C	protein_coding	0	2	1	64	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	2	31
AIM39	YOL053W	YOL053W	protein_coding	0	0	2	26	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	11
AIM4	YBR194W	YBR194W	protein_coding	0	3	1	68	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	3	30
AIM41	YOR215C	YOR215C	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AIM44	YPL158C	YPL158C	protein_coding	0	2	7	21	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	2	16
AIM45	YPR004C	YPR004C	protein_coding	0	2	0	12	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	7
AIM46	YHR199C	YHR199C	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AIM6	YDL237W	YDL237W	protein_coding	0	0	2	13	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	5
AIM7	YDR063W	YDR063W	protein_coding	0	2	1	59	0	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	2	14
AIM9	YER080W	YER080W	protein_coding	0	2	2	5	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	2
AIP1	YMR092C	YMR092C	protein_coding	0	7	3	58	0	0	0	0	46	0	0	0	3	0	0	0	0	0	0	0	0	7	12
AIR1	YIL079C	YIL079C	protein_coding	0	3	3	26	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	26
AIR2	YDL175C	YDL175C	protein_coding	0	1	0	49	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	28
AKL1	YBR059C	YBR059C	protein_coding	0	7	6	56	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	7	47
AKR1	YDR264C	YDR264C	protein_coding	0	1	1	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	7
AKR2	YOR034C	YOR034C	protein_coding	1	4	8	46	0	0	0	0	40	0	0	0	8	0	0	0	0	1	0	0	0	4	6
ALA1	YOR335C	YOR335C	protein_coding	0	3	2	15	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	3	3
ALB1	YJL122W	YJL122W	protein_coding	0	0	2	44	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	25
ALD2	YMR170C	YMR170C	protein_coding	0	2	0	25	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	8
ALD3	YMR169C	YMR169C	protein_coding	0	4	2	23	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	4	11
ALD4	YOR374W	YOR374W	protein_coding	0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ALD5	YER073W	YER073W	protein_coding	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ALD6	YPL061W	YPL061W	protein_coding	0	3	1	48	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	3	31
ALE1	YOR175C	YOR175C	protein_coding	0	3	2	16	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	3	7
ALF1	YNL148C	YNL148C	protein_coding	0	1	1	17	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	8
ALG1	YBR110W	YBR110W	protein_coding	0	4	2	86	0	0	0	0	45	0	0	0	2	0	0	0	0	0	0	0	0	4	41
ALG11	YNL048W	YNL048W	protein_coding	0	3	1	41	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	3	9
ALG12	YNR030W	YNR030W	protein_coding	0	1	1	26	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	22
ALG13	YGL047W	YGL047W	protein_coding	0	0	1	57	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	0	0	21
ALG14	YBR070C	YBR070C	protein_coding	0	3	3	56	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	0	3	34
ALG2	YGL065C	YGL065C	protein_coding	0	0	3	24	0	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	9
ALG3	YBL082C	YBL082C	protein_coding	0	1	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	29
ALG5	YPL227C	YPL227C	protein_coding	0	6	3	71	0	0	0	0	31	0	0	0	3	0	0	0	0	0	0	0	0	6	40
ALG6	YOR002W	YOR002W	protein_coding	1	3	3	17	0	0	0	0	10	1	0	0	3	0	0	0	0	0	0	0	0	3	7
ALG7	YBR243C	YBR243C	protein_coding	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ALG8	YOR067C	YOR067C	protein_coding	0	7	1	54	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	7	22
ALG9	YNL219C	YNL219C	protein_coding	0	0	3	22	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	0	8
ALK1	YGL021W	YGL021W	protein_coding	0	7	3	39	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	7	12
ALK2	YBL009W	YBL009W	protein_coding	0	10	6	51	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	10	27
ALO1	YML086C	YML086C	protein_coding	0	5	0	69	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	5	34
ALP1	YNL270C	YNL270C	protein_coding	0	0	1	10	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	8
ALR1	YOL130W	YOL130W	protein_coding	0	6	1	60	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	6	38
ALR2	YFL050C	YFL050C	protein_coding	0	12	16	115	0	0	0	0	62	0	0	0	16	0	0	0	0	0	0	0	0	12	53
ALT1	YLR089C	YLR089C	protein_coding	0	7	0	54	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	7	30
ALT2	YDR111C	YDR111C	protein_coding	0	0	1	15	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	11
ALY1	YKR021W	YKR021W	protein_coding	0	3	3	24	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	3	14
ALY2	YJL084C	YJL084C	protein_coding	0	3	4	10	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	3	5
AMA1	YGR225W	YGR225W	protein_coding	1	4	5	46	0	0	0	0	29	0	0	2	5	0	0	0	0	0	1	0	0	4	15
AMD1	YML035C	YML035C	protein_coding	0	1	0	17	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	9
AMD2	YDR242W	YDR242W	protein_coding	0	0	1	6	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AME1	YBR211C	YBR211C	protein_coding	0	4	2	72	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	0	4	31
AMF1	YOR378W	YOR378W	protein_coding	0	2	2	7	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	3
AML1	YGR001C	YGR001C	protein_coding	0	0	1	63	0	0	0	0	28	0	0	4	1	0	0	0	0	0	0	0	0	0	31
AMN1	YBR158W	YBR158W	protein_coding	0	2	3	66	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	0	2	34
AMS1	YGL156W	YGL156W	protein_coding	0	16	6	76	0	0	0	0	38	0	0	0	6	0	0	0	0	0	0	0	0	16	38
ANB1	YJR047C	YJR047C	protein_coding	0	1	0	41	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	12
ANP1	YEL036C	YEL036C	protein_coding	0	6	2	46	1	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	6	1
ANR2	YKL047W	YKL047W	protein_coding	0	0	1	39	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	0	5
ANS1	YHR126C	YHR126C	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ANT1	YPR128C	YPR128C	protein_coding	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AOS1	YPR180W	YPR180W	protein_coding	1	2	1	9	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	2	6
APA1	YCL050C	YCL050C	protein_coding	0	1	1	14	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	5
APA2	YDR530C	YDR530C	protein_coding	0	3	0	95	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	3	43
APC1	YNL172W	YNL172W	protein_coding	0	3	4	13	0	0	1	0	4	0	0	0	3	0	0	0	0	0	0	0	0	3	9
APC11	YDL008W	YDL008W	protein_coding	0	1	1	61	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	1	20
APC2	YLR127C	YLR127C	protein_coding	0	1	2	9	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	6
APC4	YDR118W	YDR118W	protein_coding	0	1	1	18	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	1	7
APC5	YOR249C	YOR249C	protein_coding	0	1	3	31	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	1	14
APC9	YLR102C	YLR102C	protein_coding	0	0	1	20	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	5
APD1	YBR151W	YBR151W	protein_coding	0	3	0	93	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	3	49
APE1	YKL103C	YKL103C	protein_coding	0	3	4	76	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	0	3	40
APE2	YKL157W	YKL157W	protein_coding	0	1	1	32	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	1	26
APE3	YBR286W	YBR286W	protein_coding	0	1	2	24	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1	18
APE4	YHR113W	YHR113W	protein_coding	0	6	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	6
API2	YDR525W	YDR525W	protein_coding	0	0	1	90	0	0	0	0	51	0	0	0	1	0	0	0	0	0	0	0	0	0	39
APJ1	YNL077W	YNL077W	protein_coding	0	0	1	10	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	4
APL1	YJR005W	YJR005W	protein_coding	0	1	1	36	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	8
APL2	YKL135C	YKL135C	protein_coding	0	3	3	33	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	3	6
